model,latency
Llama-3-70b-Instruct,1.2500218078139813
Yi-34B-Chat,1.287167620713546
sheep-duck-llama-2-70b-v1.1,5.524607914346891
vicuna-13b-v1.5,1.4753938719676523
gpt-3.5-turbo-0125,0.6829601016193729
WizardLM-70b-v1.0,3.92497720388349
codegemma-7b-it,0.30489740508652075
llama-2-70b-chat-hf,4.724659620079606
command-r,0.18832414914586032
Qwen1.5-7B-Chat,0.3898907690883855
Mixtral-8x7B-Instruct-v0.1,0.93929676606363
claude-3-haiku-20240307,0.8695497396191063
openchat-3.5-0106,0.29209514505566414
WizardLM-13b-v1.2,3.565436762576302
gemma-7b-it,0.6112263564356449
gpt-4-0613,0.6484411465828772
tulu-2-dpo-70b,7.8485973393285535
CodeLlama-34b-Instruct-hf,3.851887315425936
openchat_3.5,0.31728768684620556
Qwen1.5-14B-Chat,0.37289333481153125
Qwen1.5-1.8B-Chat,0.5502705449999994
gpt-4-1106-preview,0.7767265743542721
Qwen1.5-0.5B-Chat,0.17346913937547365
claude-3-sonnet-20240229,1.4194860128225997
Mistral-7B-Instruct-v0.1,0.28286475507717285
claude-3-opus-20240229,2.9558458279177895
sheep-duck-llama-2-13b,2.9462099794520498
gpt-4-0125-preview,1.0418927523113635
gemma-1.1-7b-it,0.17829538783455012
openchat-3.5-1210,0.28049827691029905
SUS-Chat-34B,2.2795147610691076
gemma-1.1-2b-it,0.11925699461279472
mistral-medium-2312,3.316787051521213
vicuna-33b-v1.3,0.8235025152162286
Mixtral-8x22B-Instruct-v0.1,1.0759354563573882
Qwen1.5-32B-Chat,0.5092292557397967
claude-2.1,1.683631622102253
Llama-3-8b-Instruct,1.0531297961586128
command-r-plus,0.31040160192837474
mistral-large-2402,0.3967416598893958
