model,latency
claude-3-5-sonnet-20240620,3.249084080523593
InternVL2-40B,6.267102418391495
gpt-4o-2024-05-13,9.488193374830399
gpt-4o-mini-2024-07-18,3.638671743317607
gemma-3-27b-it,5.014309747843941
Phi-3-vision-128k-instruct,1.336842031082885
gpt-4o-2024-08-06,3.3857084617187523
gemini-1.5-flash-latest,28.203669643584504
internlm-xcomposer2d5-7b,8.438096179522187
idefics-9b-instruct,4.156911970172679
claude-3-opus-20240229,4.876356864980715
idefics-80b-instruct,6.8089303915502395
InternVL2-8B,1.9486003278511759
Idefics3-8B-Llama3,2.724784815801998
gpt-4-1106-vision-preview,4.712557435752079
Pixtral-12B-2409,1.4976731684122302
Phi-3.5-vision-instruct,1.5404880504707115
InternVL2-26B,4.239272214812445
dolphin-vision-72b,10.190958003739746
InternVL2-Llama3-76B,10.660117299385428
