,"-, clemscore","adventuregame, % Played","adventuregame, Quality Score","all, Average % Played","all, Average Quality Score","clean_up, % Played","clean_up, Quality Score","codenames, % Played","codenames, Quality Score","dond, % Played","dond, Quality Score","guesswhat, % Played","guesswhat, Quality Score","hot_air_balloon, % Played","hot_air_balloon, Quality Score","imagegame, % Played","imagegame, Quality Score","matchit_ascii, % Played","matchit_ascii, Quality Score","privateshared, % Played","privateshared, Quality Score","referencegame, % Played","referencegame, Quality Score","taboo, % Played","taboo, Quality Score","textmapworld, % Played","textmapworld, Quality Score","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","wordle, % Played","wordle, Quality Score","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withcritic, % Played","wordle_withcritic, Quality Score"
Aya-Expanse-32B-t0.0,16.9,10.0,16.67,36.14,46.76,0.0,,11.54,46.67,2.5,0.0,0.0,,0.0,,0.0,,100.0,92.5,64.0,58.64,100.0,40.0,61.67,51.35,78.0,56.55,73.33,58.83,100.0,53.33,6.67,0.0,3.33,100.0,3.33,33.33
EuroLLM-22B-Instruct-2512-t0.0,13.9,45.0,9.26,30.11,46.17,11.11,2.09,31.54,21.95,2.5,68.75,0.0,,0.0,,0.0,,100.0,80.0,16.0,86.74,100.0,31.11,98.33,12.43,14.0,44.29,26.67,49.11,60.0,94.44,0.0,,3.33,0.0,3.33,100.0
Llama-3.1-70B-Instruct-t0.0,46.8,67.5,64.2,77.2,60.62,77.78,48.92,87.69,39.47,77.5,34.63,91.67,28.48,33.33,51.41,97.5,85.03,82.5,69.7,100.0,88.12,100.0,60.0,88.33,72.64,92.0,71.1,93.33,62.2,100.0,100.0,90.0,8.89,13.33,87.5,20.0,58.33
Llama-3.1-8B-Instruct-t0.0,25.28,37.5,24.44,56.58,44.68,66.67,38.55,43.85,26.32,82.5,2.42,96.67,6.9,0.0,,55.0,43.86,95.0,76.32,66.0,56.25,100.0,42.22,100.0,33.06,22.0,55.91,30.0,51.65,83.33,100.0,60.0,2.78,10.0,83.33,13.33,70.83
Llama-3.3-70B-Instruct-t0.0,50.0,92.5,48.65,82.4,60.68,81.48,35.47,77.69,31.68,65.0,66.0,93.33,43.45,100.0,47.74,87.5,91.89,75.0,80.0,100.0,90.59,100.0,56.67,98.33,62.15,100.0,69.92,70.0,61.24,86.67,100.0,83.33,12.4,46.67,70.83,43.33,62.82
Ministral-3-14B-Reasoning-2512-nothink-t0.0,26.66,35.0,57.14,54.75,48.69,0.0,,33.08,27.91,97.5,19.2,65.0,25.64,5.56,62.8,95.0,71.95,100.0,85.0,84.0,22.61,100.0,56.67,81.67,42.52,74.0,60.14,0.0,,83.33,100.0,33.33,5.0,26.67,43.75,16.67,50.0
Olmo-3.1-32B-Instruct-t0.0,14.63,45.0,0.0,29.5,49.61,0.0,,5.38,0.0,95.0,25.84,0.0,,0.0,,0.0,,67.5,81.48,40.0,12.62,100.0,52.22,76.67,40.22,2.0,33.33,0.0,,50.0,100.0,0.0,,16.67,100.0,3.33,100.0
Qwen2.5-72B-Instruct-t0.0,48.07,45.0,40.74,79.66,60.34,62.96,65.26,71.54,26.88,100.0,70.37,96.67,60.92,97.22,50.1,57.5,85.65,100.0,87.5,100.0,45.26,100.0,70.0,83.33,70.0,100.0,68.82,96.67,63.14,96.67,100.0,83.33,6.8,30.0,64.81,33.33,49.5
Qwen2.5-Coder-32B-Instruct-t0.0,35.32,30.0,50.0,67.63,52.23,51.85,41.82,56.15,39.73,15.0,27.45,96.67,59.2,75.0,44.48,0.0,,85.0,76.47,100.0,49.53,100.0,73.33,96.67,50.0,100.0,68.86,100.0,63.24,73.33,100.0,76.67,12.17,56.67,35.49,36.67,43.94
Qwen3-Next-80B-A3B-Instruct-t0.0,45.24,50.0,33.33,74.41,60.8,74.07,54.51,36.92,37.5,97.5,12.66,100.0,56.67,0.0,,92.5,99.46,100.0,80.0,74.0,50.71,100.0,72.22,100.0,50.28,100.0,74.06,90.0,67.31,93.33,100.0,56.67,16.47,56.67,84.31,43.33,83.33
Teuken-7B-Instruct-v0.4-t0.0,7.02,7.5,0.0,32.12,21.84,0.0,,0.0,,47.5,3.68,25.0,0.0,0.0,,0.0,,100.0,25.0,22.0,25.96,33.33,33.33,96.67,5.17,94.0,55.2,16.67,48.54,100.0,43.33,0.0,,3.33,0.0,0.0,
claude-sonnet-4-5-20250929-t1.0,87.42,97.5,97.44,98.28,88.95,100.0,88.77,100.0,60.77,100.0,95.25,100.0,92.22,100.0,85.47,85.0,100.0,100.0,100.0,100.0,98.7,100.0,100.0,98.33,95.76,100.0,86.29,93.33,88.74,100.0,100.0,100.0,64.33,100.0,79.44,96.67,79.02
claude-sonnet-4-5-azure-high-t1.0,90.1,100.0,97.5,98.87,91.13,100.0,93.63,100.0,73.85,100.0,94.34,100.0,88.33,100.0,95.53,92.5,99.81,100.0,100.0,100.0,97.95,100.0,98.89,98.33,96.61,100.0,87.53,90.0,91.93,100.0,100.0,100.0,64.67,100.0,82.5,100.0,86.11
